index,accuracy,loss,top5,val_accuracy,val_loss,val_top5,learning_rate
0,0.4970584511756897,3.1350045204162598,0.7383251190185547,0.497079998254776,3.174319267272949,0.7327399849891663,0.0009999999310821295
1,0.4975396394729614,3.131679058074951,0.7389569282531738,0.49386000633239746,3.184971809387207,0.7301999926567078,0.0009999999310821295
2,0.4980715811252594,3.1293861865997314,0.7399598360061646,0.49671998620033264,3.1606922149658203,0.736519992351532,0.0009999999310821295
3,0.498994380235672,3.1268763542175293,0.7404775023460388,0.4909000098705292,3.2123847007751465,0.7272400259971619,0.0009999999310821295
4,0.4999599754810333,3.12485671043396,0.7411862015724182,0.4966599941253662,3.1854214668273926,0.7336199879646301,0.0009999999310821295
5,0.5014899969100952,3.1202006340026855,0.7421423196792603,0.49904000759124756,3.166816473007202,0.735480010509491,0.0009999999310821295
6,0.501610517501831,3.1190311908721924,0.7429667711257935,0.49827998876571655,3.1686489582061768,0.7371000051498413,0.0009999999310821295
7,0.5031532049179077,3.115406036376953,0.7438110709190369,0.502020001411438,3.1665844917297363,0.7397400140762329,0.0009999999310821295
8,0.5327908396720886,2.967336416244507,0.7660902142524719,0.5205399990081787,3.0640616416931152,0.7522000074386597,9.99999901978299e-05
9,0.5365453362464905,2.9422008991241455,0.7695387005805969,0.5233799815177917,3.053887128829956,0.7541800141334534,9.99999901978299e-05
10,0.5388,2.9300,0.7706,0.5242,3.0430,0.7534,1.0000e-04
11,0.5399,2.9194,0.7717,0.5254,3.0405,0.7544,1.0000e-04
12,0.5414,2.9126,0.7724,0.5249,3.0274,0.7561,1.0000e-04
13,0.5423,2.9053,0.7733,0.5218,3.0400,0.7533,1.0000e-04
14,0.5426,2.8992,0.7738,0.5242,3.0304,0.7542,1.0000e-04
15,0.5431,2.8941,0.7737,0.5253,3.0177,0.7559,1.0000e-04
16,0.5441,2.8877,0.7745,0.5280,3.0190,0.7540,1.0000e-04
17,0.5448,2.8843,0.7750,0.5263,3.0081,0.7563,1.0000e-04
18,0.5453,2.8786,0.7754,0.5286,3.0123,0.7541,1.0000e-04
19,0.5455,2.8735,0.7755,0.5270,3.0112,0.7548,1.0000e-04
20,0.5463,2.8717,0.7762,0.5296,2.9952,0.7578,1.0000e-04
21,0.5464,2.8655,0.7766,0.5268,3.0057,0.7565,1.0000e-04
22,0.5467,2.8617,0.7772,0.5281,2.9976,0.7570,1.0000e-04
23,0.5467973947525024,2.8661205768585205,0.7763628363609314,0.5237600207328796,3.007209300994873,0.7556999921798706,9.99999901978299e-05
24,0.5467482805252075,2.8627445697784424,0.776727557182312,0.5270400047302246,3.004420518875122,0.7553799748420715,9.99999901978299e-05
25,0.5466602444648743,2.859959840774536,0.7765428423881531,0.5266000032424927,3.003335952758789,0.7563199996948242,9.99999901978299e-05
26,0.5475846529006958,2.8551528453826904,0.7773371934890747,0.5283799767494202,2.9984257221221924,0.7562199831008911,9.99999901978299e-05
27,0.5478969812393188,2.8527472019195557,0.7774568796157837,0.5315999984741211,2.9918274879455566,0.7563599944114685,9.99999901978299e-05
28,0.5486247539520264,2.849393129348755,0.7779650688171387,0.5291200280189514,2.990778684616089,0.7595400214195251,9.99999901978299e-05
29,0.5487999320030212,2.846384286880493,0.7777636647224426,0.5275800228118896,2.988759756088257,0.7575799822807312,9.99999901978299e-05
30,0.5485795736312866,2.848006010055542,0.7778754830360413,0.529699981212616,2.9882161617279053,0.757860004901886,9.99999901978299e-05
31,0.549109935760498,2.844867467880249,0.7785961031913757,0.526960015296936,2.9870445728302,0.7581800222396851,9.99999901978299e-05
32,0.5493739247322083,2.841384172439575,0.7784090042114258,0.5296199917793274,2.986646890640259,0.756380021572113,9.99999901978299e-05
33,0.5499082207679749,2.8382575511932373,0.7788616418838501,0.5279399752616882,2.983182191848755,0.757099986076355,9.99999901978299e-05
34,0.5497131943702698,2.83662748336792,0.779172420501709,0.5307999849319458,2.9779915809631348,0.7576199769973755,9.99999901978299e-05
35,0.5503228306770325,2.8330817222595215,0.7793761491775513,0.5288000106811523,2.9840524196624756,0.7562999725341797,9.99999901978299e-05
36,0.5500287413597107,2.831418991088867,0.7796710729598999,0.5288800001144409,2.9767887592315674,0.7585800290107727,9.99999901978299e-05
37,0.5508357882499695,2.826995372772217,0.780119001865387,0.5312600135803223,2.9748055934906006,0.7590399980545044,9.99999901978299e-05
38,0.5514945387840271,2.825772285461426,0.7799097299575806,0.5295000076293945,2.9786252975463867,0.7573800086975098,9.99999901978299e-05
39,0.5514874458312988,2.8224191665649414,0.7803916931152344,0.5279399752616882,2.977630853652954,0.7573400139808655,9.99999901978299e-05
40,0.5518314838409424,2.8205389976501465,0.7805835604667664,0.5281400084495544,2.9671950340270996,0.7600600123405457,9.99999901978299e-05
41,0.552304744720459,2.8168017864227295,0.7809474468231201,0.5311200022697449,2.9670896530151367,0.7590199708938599,9.99999901978299e-05
42,0.5523650050163269,2.81441593170166,0.781387448310852,0.5302000045776367,2.9693450927734375,0.7570599913597107,9.99999901978299e-05
43,0.5519757866859436,2.813993453979492,0.7815563082695007,0.5299199819564819,2.977910041809082,0.756600022315979,9.99999901978299e-05
44,0.5533449053764343,2.809657573699951,0.7817274928092957,0.5309799909591675,2.964362144470215,0.7596200108528137,9.99999901978299e-05
45,0.55350661277771,2.8078458309173584,0.7819114327430725,0.5286200046539307,2.9666004180908203,0.758620023727417,9.99999901978299e-05
46,0.5536905527114868,2.80515193939209,0.7823173403739929,0.5323799848556519,2.970080852508545,0.7581999897956848,9.99999901978299e-05
47,0.5532251596450806,2.8037033081054688,0.7821746468544006,0.5310199856758118,2.9696412086486816,0.7581200003623962,9.99999901978299e-05
48,0.5540631413459778,2.8018438816070557,0.7828088402748108,0.5310800075531006,2.9546399116516113,0.7587000131607056,9.99999901978299e-05
49,0.5547647476196289,2.799043655395508,0.7828714847564697,0.5286399722099304,2.967034339904785,0.757319986820221,9.99999901978299e-05
